fmaID,fma,hsw,x,y,z
10A,0,3,2800,0,1500
10A,1,6,2400,0,2000
10A,2,9,2000,0,1500
10A,3,12,1600,0,2000
10A,4,15,1200,0,1500
10A,5,18,800,0,2000
10A,6,21,400,0,1500
10A,7,24,3400,346,2000
10A,8,1,3000,346,1500
10A,9,5,2600,346,2000
10A,10,10,2200,346,1500
10A,11,14,1800,346,2000
10A,12,19,1400,346,1500
10A,13,23,1000,346,2000
10A,14,27,600,346,1500
10A,15,31,200,346,2000
10A,16,30,3200,693,1500
10A,17,25,2800,693,2000
10A,18,22,2400,693,1500
10A,19,17,2000,693,2000
10A,20,13,1600,693,1500
10A,21,8,1200,693,2000
10A,22,0,800,693,1500
10A,23,4,400,693,2000
10A,24,37,0,693,1500
10A,25,33,3000,1039,2000
10A,26,28,2600,1039,1500
10A,27,20,2200,1039,2000
10A,28,16,1800,1039,1500
10A,29,11,1400,1039,2000
10A,30,7,1000,1039,1500
10A,31,2,600,1039,2000
10B,32,47,2800,3000,1500
10B,33,44,2400,3000,2000
10B,34,41,2000,3000,1500
10B,35,38,1600,3000,2000
10B,36,35,1200,3000,1500
10B,37,32,800,3000,2000
10B,38,29,400,3000,1500
10B,39,26,3400,3346,2000
10B,40,62,3000,3346,1500
10B,41,60,2600,3346,2000
10B,42,56,2200,3346,1500
10B,43,53,1800,3346,2000
10B,44,51,1400,3346,1500
10B,45,45,1000,3346,2000
10B,46,40,600,3346,1500
10B,47,36,200,3346,2000
10B,48,34,3200,3693,1500
10B,49,39,2800,3693,2000
10B,50,43,2400,3693,1500
10B,51,48,2000,3693,2000
10B,52,58,1600,3693,1500
10B,53,52,1200,3693,2000
10B,54,61,800,3693,1500
10B,55,55,400,3693,2000
10B,56,46,0,3693,1500
10B,57,42,3000,4039,2000
10B,58,49,2600,4039,1500
10B,59,54,2200,4039,2000
10B,60,57,1800,4039,1500
10B,61,59,1400,4039,2000
10B,62,63,1000,4039,1500
10B,63,50,600,4039,2000
1A,64,195,2800,6000,1500
1A,65,198,2400,6000,2000
1A,66,201,2000,6000,1500
1A,67,204,1600,6000,2000
1A,68,207,1200,6000,1500
1A,69,210,800,6000,2000
1A,70,213,400,6000,1500
1A,71,216,3400,6346,2000
1A,72,193,3000,6346,1500
1A,73,197,2600,6346,2000
1A,74,202,2200,6346,1500
1A,75,206,1800,6346,2000
1A,76,211,1400,6346,1500
1A,77,215,1000,6346,2000
1A,78,219,600,6346,1500
1A,79,223,200,6346,2000
1A,80,222,3200,6693,1500
1A,81,217,2800,6693,2000
1A,82,214,2400,6693,1500
1A,83,209,2000,6693,2000
1A,84,205,1600,6693,1500
1A,85,200,1200,6693,2000
1A,86,192,800,6693,1500
1A,87,196,400,6693,2000
1A,88,229,0,6693,1500
1A,89,225,3000,7039,2000
1A,90,220,2600,7039,1500
1A,91,212,2200,7039,2000
1A,92,208,1800,7039,1500
1A,93,203,1400,7039,2000
1A,94,199,1000,7039,1500
1A,95,194,600,7039,2000
1B,96,239,2800,9000,1500
1B,97,236,2400,9000,2000
1B,98,233,2000,9000,1500
1B,99,230,1600,9000,2000
1B,100,227,1200,9000,1500
1B,101,224,800,9000,2000
1B,102,221,400,9000,1500
1B,103,218,3400,9346,2000
1B,104,254,3000,9346,1500
1B,105,252,2600,9346,2000
1B,106,248,2200,9346,1500
1B,107,245,1800,9346,2000
1B,108,243,1400,9346,1500
1B,109,237,1000,9346,2000
1B,110,232,600,9346,1500
1B,111,228,200,9346,2000
1B,112,226,3200,9693,1500
1B,113,231,2800,9693,2000
1B,114,235,2400,9693,1500
1B,115,240,2000,9693,2000
1B,116,250,1600,9693,1500
1B,117,244,1200,9693,2000
1B,118,253,800,9693,1500
1B,119,247,400,9693,2000
1B,120,238,0,9693,1500
1B,121,234,3000,10039,2000
1B,122,241,2600,10039,1500
1B,123,246,2200,10039,2000
1B,124,249,1800,10039,1500
1B,125,251,1400,10039,2000
1B,126,255,1000,10039,1500
1B,127,242,600,10039,2000
2A,128,131,2800,12000,1500
2A,129,134,2400,12000,2000
2A,130,137,2000,12000,1500
2A,131,140,1600,12000,2000
2A,132,143,1200,12000,1500
2A,133,146,800,12000,2000
2A,134,149,400,12000,1500
2A,135,152,3400,12346,2000
2A,136,129,3000,12346,1500
2A,137,133,2600,12346,2000
2A,138,138,2200,12346,1500
2A,139,142,1800,12346,2000
2A,140,147,1400,12346,1500
2A,141,151,1000,12346,2000
2A,142,155,600,12346,1500
2A,143,159,200,12346,2000
2A,144,158,3200,12693,1500
2A,145,153,2800,12693,2000
2A,146,150,2400,12693,1500
2A,147,145,2000,12693,2000
2A,148,141,1600,12693,1500
2A,149,136,1200,12693,2000
2A,150,128,800,12693,1500
2A,151,132,400,12693,2000
2A,152,165,0,12693,1500
2A,153,161,3000,13039,2000
2A,154,156,2600,13039,1500
2A,155,148,2200,13039,2000
2A,156,144,1800,13039,1500
2A,157,139,1400,13039,2000
2A,158,135,1000,13039,1500
2A,159,130,600,13039,2000
2B,160,175,2800,15000,1500
2B,161,172,2400,15000,2000
2B,162,169,2000,15000,1500
2B,163,166,1600,15000,2000
2B,164,163,1200,15000,1500
2B,165,160,800,15000,2000
2B,166,157,400,15000,1500
2B,167,154,3400,15346,2000
2B,168,190,3000,15346,1500
2B,169,188,2600,15346,2000
2B,170,184,2200,15346,1500
2B,171,181,1800,15346,2000
2B,172,179,1400,15346,1500
2B,173,173,1000,15346,2000
2B,174,168,600,15346,1500
2B,175,164,200,15346,2000
2B,176,162,3200,15693,1500
2B,177,167,2800,15693,2000
2B,178,171,2400,15693,1500
2B,179,176,2000,15693,2000
2B,180,186,1600,15693,1500
2B,181,180,1200,15693,2000
2B,182,189,800,15693,1500
2B,183,183,400,15693,2000
2B,184,174,0,15693,1500
2B,185,170,3000,16039,2000
2B,186,177,2600,16039,1500
2B,187,182,2200,16039,2000
2B,188,185,1800,16039,1500
2B,189,187,1400,16039,2000
2B,190,191,1000,16039,1500
2B,191,178,600,16039,2000
3A,192,67,2800,18000,1500
3A,193,70,2400,18000,2000
3A,194,73,2000,18000,1500
3A,195,76,1600,18000,2000
3A,196,79,1200,18000,1500
3A,197,82,800,18000,2000
3A,198,85,400,18000,1500
3A,199,88,3400,18346,2000
3A,200,65,3000,18346,1500
3A,201,69,2600,18346,2000
3A,202,74,2200,18346,1500
3A,203,78,1800,18346,2000
3A,204,83,1400,18346,1500
3A,205,87,1000,18346,2000
3A,206,91,600,18346,1500
3A,207,95,200,18346,2000
3A,208,94,3200,18693,1500
3A,209,89,2800,18693,2000
3A,210,86,2400,18693,1500
3A,211,81,2000,18693,2000
3A,212,77,1600,18693,1500
3A,213,72,1200,18693,2000
3A,214,64,800,18693,1500
3A,215,68,400,18693,2000
3A,216,101,0,18693,1500
3A,217,97,3000,19039,2000
3A,218,92,2600,19039,1500
3A,219,84,2200,19039,2000
3A,220,80,1800,19039,1500
3A,221,75,1400,19039,2000
3A,222,71,1000,19039,1500
3A,223,66,600,19039,2000
3B,224,111,2800,21000,1500
3B,225,108,2400,21000,2000
3B,226,105,2000,21000,1500
3B,227,102,1600,21000,2000
3B,228,99,1200,21000,1500
3B,229,96,800,21000,2000
3B,230,93,400,21000,1500
3B,231,90,3400,21346,2000
3B,232,126,3000,21346,1500
3B,233,124,2600,21346,2000
3B,234,120,2200,21346,1500
3B,235,117,1800,21346,2000
3B,236,115,1400,21346,1500
3B,237,109,1000,21346,2000
3B,238,104,600,21346,1500
3B,239,100,200,21346,2000
3B,240,98,3200,21693,1500
3B,241,103,2800,21693,2000
3B,242,107,2400,21693,1500
3B,243,112,2000,21693,2000
3B,244,122,1600,21693,1500
3B,245,116,1200,21693,2000
3B,246,125,800,21693,1500
3B,247,119,400,21693,2000
3B,248,110,0,21693,1500
3B,249,106,3000,22039,2000
3B,250,113,2600,22039,1500
3B,251,118,2200,22039,2000
3B,252,121,1800,22039,1500
3B,253,123,1400,22039,2000
3B,254,127,1000,22039,1500
3B,255,114,600,22039,2000
